20008,-3702,-1030,1811,8,-17,-5,0,10000,
20992,-3701,-1032,1789,8,0,-2,-6,10000,
20008,-3691,-1027,1814,7,11,-2,-12,10000,
20992,-3700,-1013,1819,-3,-2,-4,-14,10000,
20008,-3707,-1043,1809,-10,-6,-1,-10,10000,
20992,-3706,-1032,1814,-21,10,6,-6,10000,
20008,-3698,-1017,1810,-31,6,10,-4,10000,
20992,-3706,-1028,1816,-31,-14,6,-6,10000,
20008,-3696,-1042,1803,-27,-12,6,-8,10000,
20992,-3695,-1044,1798,-21,14,6,-9,10000,
20008,-3678,-1055,1793,-10,9,3,-6,10000,
20992,-3691,-1037,1814,-18,1,1,0,10000,
20008,-3711,-1038,1778,-20,5,1,5,10000,
20992,-3711,-1045,1810,-10,14,1,9,10000,
