periodo,acx,acy,acz,gx,gy,gz,cantAngle,altitude,
10,-4037,82,2110,4,-19,253,-5922,15243,
10,-4031,81,2112,254,-11,252,-5921,15259,
10,-4023,76,2117,253,-9,253,-5921,15275,
10,-4035,88,2124,-5,-3,-2,-5920,15291,
10,-4030,81,2119,250,3,2,-5920,15307,
10,-4024,78,2139,-3,11,0,-5920,15323,
10,-4039,66,2122,-2,253,0,-5919,15339,
10,-4032,74,2111,7,248,2,-5919,15354,
10,-4023,73,2117,2,241,0,-5920,15370,
10,-4037,65,2103,4,242,253,-5921,15386,
10,-4030,74,2115,1,-16,253,-5921,15402,
10,-4027,77,2141,3,-16,0,-5922,15417,
10,-4028,76,2126,253,-8,1,-5922,15433,
10,-4024,85,2124,252,-4,0,-5922,15449,
10,-4035,78,2109,0,0,0,-5922,15464,
10,-4042,51,2127,-4,-7,5,-5919,15480,
10,-4034,76,2117,253,2,1,-5920,15495,
10,-4030,69,2107,-5,13,2,-5922,15510,
10,-4025,83,2110,-4,14,3,-5920,15526,
10,-4022,66,2122,-5,10,2,-5920,15541,
10,-4020,80,2120,-5,13,1,-5921,15556,
10,-4021,81,2111,-3,12,3,-5921,15572,
10,-4027,78,2121,253,2,-3,-5921,15587,
10,-4043,86,2123,4,6,-2,-5922,15602,
10,-4026,91,2109,0,251,-2,-5922,15617,
10,-4036,69,2117,3,-9,-3,-5920,15632,
10,-4018,76,2107,-11,-13,254,-5919,15647,
10,-4030,84,2124,0,244,0,-5919,15662,
10,-4028,87,2115,-5,254,254,-5919,15677,
10,-4034,75,2108,-28,250,0,-5919,15692,
10,-4023,78,2114,-5,8,2,-5919,15707,
10,-4028,85,2118,252,3,1,-5920,15722,
10,-4014,74,2105,25,10,-2,-5921,15736,
10,-4027,88,2135,-8,17,-1,-5921,15751,
10,-4036,77,2112,0,14,-4,-5922,15766,
10,-4043,79,2115,252,17,-3,-5921,15780,
10,-4034,83,2120,1,7,4,-5919,15795,
10,-4022,76,2104,3,-24,-2,-5920,15810,
10,-4032,71,2122,6,-6,-2,-5921,15824,
10,-4021,75,2102,2,246,-3,-5922,15839,
10,-4023,86,2138,4,-15,-3,-5920,15853,
10,-4021,70,2100,1,-9,-2,-5919,15867,
10,-4020,71,2140,-3,-7,-2,-5921,15882,
10,-4021,78,2121,253,5,2,-5921,15896,
10,-4035,79,2130,-5,9,2,-5921,15910,
10,-4024,73,2098,-2,13,2,-5923,15925,
10,-4042,76,2130,-2,9,-2,-5921,15939,
10,-4017,82,2127,3,241,-2,-5920,15953,
10,-4024,66,2132,-4,247,1,-5922,15967,
10,-4032,78,2122,0,1,-4,-5921,15981,
10,-4033,70,2111,247,12,0,-5919,15995,
10,-4031,88,2123,-8,12,3,-5920,16009,
10,-4027,84,2105,1,12,-5,-5922,16023,
10,-4031,81,2125,254,11,254,-5921,16037,
10,-4033,78,2126,0,6,0,-5920,16051,
10,-4027,76,2122,0,-13,-4,-5922,16064,
10,-4038,83,2111,0,-12,252,-5921,16078,
10,-4033,61,2123,251,245,254,-5919,16092,
10,-4029,71,2118,-2,-9,0,-5921,16105,
10,-4034,71,2119,-2,1,1,-5920,16119,
10,-4029,78,2114,251,6,1,-5921,16133,
10,-4037,80,2119,250,7,2,-5921,16146,
10,-4024,71,2118,249,13,1,-5919,16160,
10,-4041,72,2104,253,15,2,-5920,16173,
10,-4037,81,2122,-3,14,1,-5921,16187,
10,-4025,84,2126,3,0,-2,-5921,16200,
10,-4031,74,2127,4,251,0,-5921,16213,
10,-4033,76,2120,2,-17,-4,-5920,16227,
10,-4034,73,2112,3,-11,0,-5919,16240,
10,-4032,74,2115,19,-8,-4,-5920,16253,
10,-4043,76,2105,-2,-10,0,-5921,16266,
10,-4031,69,2103,-3,-11,-3,-5921,16279,
10,-4040,80,2096,1,-6,253,-5919,16292,
10,-4026,69,2108,253,-19,0,-5920,16305,
10,-4036,66,2123,251,9,254,-5920,16318,
10,-4035,75,2114,-2,13,1,-5920,16331,
10,-4019,82,2126,-4,11,0,-5920,16344,
10,-4032,73,2107,1,6,254,-5921,16357,
10,-4043,66,2136,2,254,-5,-5920,16370,
10,-4031,80,2106,1,-9,252,-5921,16383,
10,-4013,73,2120,3,-16,-2,-5922,16396,
10,-4017,77,2126,1,-12,-3,-5920,16408,
10,-4025,75,2122,-3,-7,-2,-5920,16421,
10,-4021,70,2102,-2,250,1,-5921,16434,
10,-4038,90,2135,-6,5,2,-5922,16446,
10,-4025,82,2115,-6,10,1,-5922,16459,
10,-4032,67,2117,248,17,0,-5919,16471,
10,-4029,76,2120,0,9,254,-5920,16484,
10,-4044,83,2119,1,7,1,-5922,16496,
